4212:808,823,819,820,821,822,824
4153:1662,823,1663,1663,1663,1663,1664
1305:809,823,819,820,821,822,824
4726:813,1209,1205,1206,1207,1208,1210
4587:808,823,819,820,821,822,824
841:808,823,819,820,821,822,824
1381:813,1209,1205,1206,1207,1208,1210
1393:813,1209,1205,1206,1207,1208,1210
11709:813,1209,1205,1206,1207,1208,1210
1387:813,1209,1205,1206,1207,1208,1210
11998:813,1209,1205,1206,1207,1208,1210
11749:808,823,819,820,821,822,824
1333:808,823,819,820,821,822,824
4151:808,823,1660,1660,1660,1660,1661
11037:808,823,819,820,821,822,824
869:808,823,819,820,821,822,824
861:808,823,819,820,821,822,824
6562:813,1209,1205,1206,1207,1208,1210
1293:808,823,819,820,821,822,824
868:808,823,819,820,821,822,824
12795:813,1209,1205,1206,1207,1208,1210
5686:808,823,819,820,821,822,824
12774:808,823,1660,1660,1660,1660,1661
1351:808,823,819,820,821,822,824
4565:1837,823,1836,1836,1836,1836,1836
6739:808,823,819,820,821,822,824
13241:808,823,819,820,821,822,824
1323:808,823,819,820,821,822,824
12000:813,1209,1205,1206,1207,1208,1210
1325:808,823,819,820,821,822,824
772:813,1209,1205,1206,1207,1208,1210
1385:813,1209,1205,1206,1207,1208,1210
3053:813,1209,1205,1206,1207,1208,1210
3054:813,1209,1205,1206,1207,1208,1210
1331:808,823,819,820,821,822,824
9185:4591,823,4226,4227,821,822,4228
811:808,823,819,820,821,822,824
10010:813,1209,1205,1206,1207,1208,1210
9183:4591,823,4226,4227,821,822,4228
1289:808,823,819,820,821,822,824
12788:808,823,819,820,821,822,824
1329:808,823,819,820,821,822,824
12773:808,823,1660,1660,1660,1660,1661
12006:808,823,1660,1660,1660,1660,1661
6563:813,1209,1205,1206,1207,1208,1210
12809:7053,7044,7052,7049,7048,7047,7043
12926:813,1209,1205,1206,1207,1208,1210
1361:808,823,819,820,821,822,824
7409:808,823,819,820,821,822,824
1379:813,1209,1205,1206,1207,1208,1210
12797:808,823,819,820,821,822,824
4734:2074,823,2076,2076,2076,2076,2077
12727:2316,2321,2317,2318,2319,2320,2322
8878:808,823,819,820,821,822,824
6528:2065,823,2064,2064,2064,2064,824
867:808,823,819,820,821,822,824
5698:808,823,819,820,821,822,824
4170:813,1209,1205,1206,1207,1208,1210
5667:808,823,819,820,821,822,824
11838:7053,7044,7052,7049,7048,7047,7043
4934:2074,823,2076,2076,2076,2076,2077
1307:2561,823,2562,2562,2562,2562,2563
12767:808,823,819,820,821,822,824
1215:808,823,819,820,821,822,824
11235:808,823,819,820,821,822,824
1399:813,1209,1205,1206,1207,1208,1210
2417:808,823,819,820,821,822,824
8880:4591,823,4226,4227,821,822,4228
9181:4591,823,4226,4227,821,822,4228
4718:2065,823,2064,2064,2064,2064,824
4886:2065,823,2064,2064,2064,2064,824
863:808,823,819,820,821,822,824
11756:808,823,819,820,821,822,824
2460:808,823,819,820,821,822,824
857:808,823,819,820,821,822,824
11802:7053,7044,7052,7049,7048,7047,7043
11804:7053,7044,7052,7049,7048,7047,7043
11806:7053,7044,7052,7049,7048,7047,7043
11808:7053,7044,7052,7049,7048,7047,7043
7158:2561,823,2562,2562,2562,2562,2563
4935:2074,823,2076,2076,2076,2076,2077
1277:808,823,819,820,821,822,824
4958:808,823,819,820,821,822,824
4959:808,823,819,820,821,822,824
4960:808,823,819,820,821,822,824
4961:808,823,819,820,821,822,824
4747:808,823,819,820,821,822,824
12904:813,1209,1205,1206,1207,1208,1210
11785:4591,823,4226,4227,821,822,4228
11706:3677,823,3680,3680,3680,3680,824
5700:808,823,819,820,821,822,824
11230:808,823,819,820,821,822,824
5680:808,823,819,820,821,822,824
12768:808,823,819,820,821,822,824
9013:813,1209,1205,1206,1207,1208,1210
1434:808,823,819,820,821,822,824
4889:2065,823,2064,2064,2064,2064,824
1231:808,823,819,820,821,822,824
11889:813,1209,1205,1206,1207,1208,1210
4675:813,1209,1205,1206,1207,1208,1210
853:808,823,819,820,821,822,824
2470:808,823,819,820,821,822,824
10033:3175,3177,3177,3177,3177,3177,3178
11907:813,1209,1205,1206,1207,1208,1210
5696:808,823,819,820,821,822,824
864:808,823,819,820,821,822,824
2415:808,823,819,820,821,822,824
1267:808,823,819,820,821,822,824
1383:813,1209,1205,1206,1207,1208,1210
1353:808,823,819,820,821,822,824
11902:808,823,819,820,821,822,824
10156:4591,823,4226,4227,821,822,4228
843:808,823,819,820,821,822,824
1313:2561,823,2562,2562,2562,2562,2563
12902:813,1209,1205,1206,1207,1208,1210
5668:808,823,819,820,821,822,824
9174:4591,823,4226,4227,821,822,4228
3842:808,823,819,820,821,822,824
1540:808,823,819,820,821,822,824
866:808,823,819,820,821,822,824
12899:813,1209,1205,1206,1207,1208,1210
1359:808,823,819,820,821,822,824
11283:808,823,819,820,821,822,824
1195:808,823,819,820,821,822,824
12610:808,823,819,820,821,822,824
12848:1662,823,1663,1663,1663,1663,1664
8850:808,823,819,820,821,822,824
12954:808,823,819,820,821,822,824
