35:20,29,-2,0,0,0,3,2,1,0,25,0,0,0
74:0,0,0,0,0,4,5,3,0,0,0,0,0,0
75:0,0,0,0,0,9,11,10,0,0,0,0,0,0
78:0,0,0,0,0,0,0,0,0,0,0,16,0,0
86:0,0,0,0,0,0,0,0,0,0,0,0,0,0
87:0,0,0,0,0,0,0,0,0,0,0,0,0,0
88:0,0,0,0,0,0,1,1,0,0,0,0,0,0
89:0,0,0,0,0,0,1,1,0,0,0,0,0,0
272:0,0,0,0,0,0,0,0,0,0,0,0,0,0
278:4,2,-4,1,0,0,0,0,1,0,3,0,0,0
284:0,0,0,0,0,0,0,0,0,0,0,0,0,0
285:0,0,0,0,0,0,0,0,0,0,0,0,0,0
286:0,0,0,0,0,0,0,0,0,0,0,0,0,0
287:0,0,0,0,0,0,0,0,0,0,0,0,0,0
288:0,0,0,0,0,0,0,0,0,0,0,0,0,0
295:0,0,0,0,0,0,0,0,0,0,0,0,0,0
411:0,0,0,0,0,0,0,0,0,0,0,0,0,0
413:0,0,0,0,0,0,0,0,0,0,0,0,0,0
421:0,0,0,0,0,0,0,0,0,0,0,0,0,0
426:0,0,0,0,0,0,0,0,0,0,0,0,0,3
428:0,0,0,0,0,0,0,0,0,0,0,0,0,3
430:0,0,0,0,0,0,0,0,0,0,0,0,0,0
466:0,0,0,0,0,0,0,0,0,0,0,0,0,0
468:0,0,0,0,0,0,0,0,0,0,0,0,0,0
470:0,0,0,0,0,0,0,0,0,0,0,0,0,0
472:0,0,0,0,0,0,0,0,0,0,0,0,0,0
474:0,0,0,0,0,0,0,0,0,0,0,0,0,0
476:0,0,0,0,0,0,0,0,0,0,0,0,0,0
478:0,0,0,0,0,0,0,0,0,0,0,0,0,0
492:0,0,0,0,0,0,0,0,0,0,0,0,0,0
494:0,0,0,0,0,0,0,0,0,0,0,0,0,0
496:0,0,0,0,0,0,0,0,0,0,0,0,0,0
498:0,0,0,0,0,0,0,0,0,0,0,0,0,0
500:0,0,0,0,0,0,0,0,0,0,0,0,0,0
502:0,0,0,0,0,0,0,0,0,0,0,0,0,0
504:0,0,0,0,0,0,0,0,0,0,0,0,0,0
506:0,0,0,0,0,0,0,0,0,0,0,0,0,0
538:0,0,0,0,0,0,0,0,0,0,0,0,0,4
540:0,0,0,0,0,0,0,0,0,0,0,0,0,4
542:0,0,0,0,0,0,0,0,0,0,0,0,0,5
544:0,0,0,0,0,0,0,0,0,0,0,0,0,6
546:0,0,0,0,0,0,0,0,0,0,0,0,0,5
548:0,0,0,0,0,0,0,0,0,0,0,0,0,4
552:0,0,0,0,0,0,0,0,0,0,0,0,0,0
577:0,0,0,3,0,0,0,0,3,0,0,0,0,0
579:0,0,0,2,0,0,0,0,2,0,0,0,0,0
581:0,0,0,3,0,0,0,0,3,0,0,0,0,0
589:0,0,0,0,0,13,13,13,0,0,0,0,0,0
598:0,0,0,0,0,0,0,0,0,0,0,7,0,0
616:1,1,1,1,1,1,1,1,1,1,1,0,0,1
626:0,0,0,0,0,0,1,1,0,0,0,0,0,0
628:0,0,0,0,0,0,1,1,0,0,0,0,0,0
630:0,0,0,0,0,0,1,1,0,0,0,0,0,0
632:0,0,0,0,0,0,1,1,0,0,0,0,0,0
634:0,0,0,0,0,0,1,1,0,0,0,0,0,0
636:0,0,0,0,0,0,2,2,0,0,0,0,0,0
638:0,0,0,0,0,0,2,2,0,0,0,0,0,0
640:0,0,0,0,0,0,2,2,0,0,0,0,0,0
642:0,0,0,0,0,0,2,2,0,0,0,0,0,0
644:0,0,0,0,0,0,2,2,0,0,0,0,0,0
646:0,0,0,0,0,0,2,2,0,0,0,0,0,0
